nama_variabel;nama_variabel_turunan;nama_tahun;nama_turunan_tahun;data_content;nama_item_vertical_variabel
"Kepadatan Penduduk";"Tidak Ada";2009;Tahun;182;"SUMATERA UTARA"
"Kepadatan Penduduk";"Tidak Ada";2009;Tahun;114;"SUMATERA BARAT"
"Kepadatan Penduduk";"Tidak Ada";2009;Tahun;60;RIAU
"Kepadatan Penduduk";"Tidak Ada";2009;Tahun;62;JAMBI
"Kepadatan Penduduk";"Tidak Ada";2009;Tahun;120;"SUMATERA SELATAN"
"Kepadatan Penduduk";"Tidak Ada";2009;Tahun;84;BENGKULU
"Kepadatan Penduduk";"Tidak Ada";2009;Tahun;199;LAMPUNG
"Kepadatan Penduduk";"Tidak Ada";2009;Tahun;69;"KEP. BANGKA BELITUNG"
"Kepadatan Penduduk";"Tidak Ada";2009;Tahun;187;"KEP. RIAU"
"Kepadatan Penduduk";"Tidak Ada";2009;Tahun;12459;"DKI JAKARTA"
"Kepadatan Penduduk";"Tidak Ada";2009;Tahun;1124;"JAWA BARAT"
"Kepadatan Penduduk";"Tidak Ada";2009;Tahun;1002;"JAWA TENGAH"
"Kepadatan Penduduk";"Tidak Ada";2009;Tahun;1118;"DI YOGYAKARTA"
"Kepadatan Penduduk";"Tidak Ada";2009;Tahun;798;"JAWA TIMUR"
"Kepadatan Penduduk";"Tidak Ada";2009;Tahun;1085;BANTEN
"Kepadatan Penduduk";"Tidak Ada";2009;Tahun;652;BALI
"Kepadatan Penduduk";"Tidak Ada";2009;Tahun;225;"NUSA TENGGARA BARAT"
"Kepadatan Penduduk";"Tidak Ada";2009;Tahun;100;"NUSA TENGGARA TIMUR"
"Kepadatan Penduduk";"Tidak Ada";2009;Tahun;36;"KALIMANTAN BARAT"
"Kepadatan Penduduk";"Tidak Ada";2009;Tahun;14;"KALIMANTAN TENGAH"
"Kepadatan Penduduk";"Tidak Ada";2009;Tahun;90;"KALIMANTAN SELATAN"
"Kepadatan Penduduk";"Tidak Ada";2009;Tahun;16;"KALIMANTAN TIMUR"
"Kepadatan Penduduk";"Tidak Ada";2009;Tahun;-;"KALIMANTAN UTARA"
"Kepadatan Penduduk";"Tidak Ada";2009;Tahun;160;"SULAWESI UTARA"
"Kepadatan Penduduk";"Tidak Ada";2009;Tahun;36;"SULAWESI TENGAH"
"Kepadatan Penduduk";"Tidak Ada";2009;Tahun;171;"SULAWESI SELATAN"
"Kepadatan Penduduk";"Tidak Ada";2009;Tahun;58;"SULAWESI TENGGARA"
"Kepadatan Penduduk";"Tidak Ada";2009;Tahun;81;GORONTALO
"Kepadatan Penduduk";"Tidak Ada";2009;Tahun;63;"SULAWESI BARAT"
"Kepadatan Penduduk";"Tidak Ada";2009;Tahun;29;MALUKU
"Kepadatan Penduduk";"Tidak Ada";2009;Tahun;25;"MALUKU UTARA"
"Kepadatan Penduduk";"Tidak Ada";2009;Tahun;6;"PAPUA BARAT"
